"Rank","Title","Author","Country","Type","Year"
1,"Ab ke as cheshme djoda shod","Ghazi-noor, Ghodsi","Iran, Islamic Republic of","Banned","1978"
2,"Adab-e-zamini","Koushan, Mansour","Iran, Islamic Republic of","Censored","1990"
3,"Adine","Alinejad, Sirus","Iran, Islamic Republic of","Censored","1986"
4,"Adine","Koushan, Mansour","Iran, Islamic Republic of","Censored","1998"
5,"Adine","Sarkohi, Faraj","Iran, Islamic Republic of","Censored
Closed","1996"
6,"Adineh","-","Iran, Islamic Republic of","Banned","February 1999"
7,"Aeeneh Andishe","Maruffi, Abbas","Iran, Islamic Republic of","Censored
Closed","1993"
8,"Aftab","-","Iran, Islamic Republic of","Suspended","July 2004"
9,"Aftab-e-Emroz","Shamsolvaezin, Mashallah","Iran, Islamic Republic of","Censored
Closed","1998"
10,"Aftab-e-Iran","Boloury, Mohammed","Iran, Islamic Republic of","Censored
Closed","1979"
